가톨릭관동대학교,http://ratio.uwayapply.com/Sl5KcldhVlc4TjlKZiUmOiZKcGZUZg==,4년제,강원
가톨릭꽃동네대학교,http://ratio.uwayapply.com/Sl5KMGE5OUpmJSY6JkpwZlRm,4년제,충북
강남대학교,http://ratio.uwayapply.com/Sl5KTThXclc4OUpmJSY6JkpwZlRm,4년제,경기
강원대학교,http://ratio.uwayapply.com/Sl5KV2FOclc4OUpmJSY6JkpwZlRm,4년제,강원
건국대학교(서울),http://ratio.uwayapply.com/Sl5KOTo5V2E5SmYlJjomSnBmVGY=,4년제,서울
경기과학기술대학교,http://ratio.uwayapply.com/Sl5KMCZXJTlKZkNDYUxKcGZUZg==,전문대,경기
경기대학교,http://ratio.uwayapply.com/Sl5KJXJyV2FiOUpmJSY6JkpwZlRm,4년제,경기
경북대학교,http://ratio.uwayapply.com/Sl5KOlc5SmYlJjomSnBmVGY=,4년제,대구
경성대학교,http://ratio.uwayapply.com/Sl5KJjlKZiUmOiZKcGZUZg==,4년제,부산
경주대학교,http://ratio.uwayapply.com/Sl5KOi9yV2FgYnJKZiUmOiZKcGZUZg==,4년제,경북
경희대학교,http://ratio.uwayapply.com/Sl5KOnw5SmYlJjomSnBmVGY=,4년제,서울
계명대학교,http://ratio.uwayapply.com/Sl5KOk05SmYlJjomSnBmVGY=,4년제,대구
계원예술대학교,http://ratio.uwayapply.com/Sl5KV2FOYjg5SmZDQ2FMSnBmVGY=,전문대,경기
고려대학교(세종),http://ratio.uwayapply.com/Sl5KcldhL2AmOzhgfWE5SmYlJjomSnBmVGY=,4년제,세종
고려대학교(안암),http://ratio.uwayapply.com/Sl5KOGB9YTlKZiUmOiZKcGZUZg==,4년제,서울
고신대학교,http://ratio.uwayapply.com/Sl5KVyUmYTlKZiUmOiZKcGZUZg==,4년제,부산
광운대학교,http://ratio.uwayapply.com/Sl5KTjlKZiUmOiZKcGZUZg==,4년제,서울
광주교육대학교,http://ratio.uwayapply.com/Sl5KYDY6L3JXOE45SmYlJjomSnBmVGY=,4년제,광주
광주여자대학교,http://ratio.uwayapply.com/Sl5KOk45SmYlJjomSnBmVGY=,4년제,광주
국립금오공과대학교,http://ratio.uwayapply.com/Sl5KfGFNOjlKZiUmOiZKcGZUZg==,4년제,경북
국립목포대학교,http://ratio.uwayapply.com/Sl5KYWk5YU1KZiUmOiZKcGZUZg==,4년제,전남
국민대학교,http://ratio.uwayapply.com/Sl5KVyVNOWFhOUpmJSY6JkpwZlRm,4년제,서울
극동대학교,http://ratio.uwayapply.com/Sl5KOlY5SmYlJjomSnBmVGY=,4년제,충북
금강대학교,http://ratio.uwayapply.com/Sl5KOnJySmYlJjomSnBmVGY=,4년제,충남
나사렛대학교,http://ratio.uwayapply.com/Sl5KOld9YTlKZiUmOiZKcGZUZg==,4년제,충남
남부대학교,http://ratio.uwayapply.com/Sl5KOkJNOFdKZiUmOiZKcGZUZg==,4년제,광주
대구예술대학교,http://ratio.uwayapply.com/Sl5KOjgwSmYlJjomSnBmVGY=,4년제,경북
대림대학교,http://ratio.uwayapply.com/Sl5KTSVDYDhWSmZDQ2FMSnBmVGY=,전문대,경기
대진대학교,http://ratio.uwayapply.com/Sl5KVyUvYDhWSmYlJjomSnBmVGY=,4년제,경기
동남보건대학교,http://ratio.uwayapply.com/Sl5KTThXcldhVkpmQ0NhTEpwZlRm,전문대,경기
동덕여자대학교,http://ratio.uwayapply.com/Sl5KOTpWcldhVkpmJSY6JkpwZlRm,4년제,서울
동서울대학교,http://ratio.uwayapply.com/Sl5KOlZKZkNDYUxKcGZUZg,전문대,경기
동아방송예술대학교,http://ratio.uwayapply.com/Sl5KOE0lVkpmQ0NhTEpwZlRm,전문대,경기
동의대학교,http://ratio.uwayapply.com/Sl5KOmBWSmYlJjomSnBmVGY=,4년제,부산
루터대학교,http://ratio.uwayapply.com/Sl5KOjBDSmYlJjomSnBmVGY=,4년제,경기
명지전문대학교,https://ratio.uwayapply.com/Sl5KTC9NSmZDQ2FMSnBmVGY,전문대,서울
목포가톨릭대학교,http://ratio.uwayapply.com/Sl5KOkxNSmYlJjomSnBmVGY=,4년제,전남
배재대학교,http://ratio.uwayapply.com/Sl5KOkxpSmYlJjomSnBmVGY=,4년제,대전
배화여자대학교,https://ratio.uwayapply.com/Sl5KOHxOYDhCSmZDQ2FMSnBmVGY,전문대,서울
백석대학교,http://ratio.uwayapply.com/Sl5KOkJKZiUmOiZKcGZUZg==,4년제,충남
백석예술대학교,http://ratio.uwayapply.com/Sl5KOjhCSk1DQ2FMSnBmVGY=,전문대,서울
부천대학교,http://ratio.uwayapply.com/Sl5KTEJKZkNDYUxKcGZUZg==,전문대,경기
상명대학교(서울캠퍼스),http://ratio.uwayapply.com/Sl5KOk0mSmYlJjomSnBmVGY=,4년제,서울
상명대학교(천안캠퍼스),http://ratio.uwayapply.com/Sl5KZjpNJkpmJSY6JkpwZlRm,4년제,충남
상지대학교,http://ratio.uwayapply.com/Sl5KJS9yVzgmSmYlJjomSnBmVGY=,4년제,강원
서울과학기술대학교,http://ratio.uwayapply.com/Sl5KMDpXJkpmJSY6JkpwZlRm,4년제,서울
서울시립대학교,http://ratio.uwayapply.com/Sl5KJmE6SmYlJjomSnBmVGY=,4년제,서울
서울신학대학교,http://ratio.uwayapply.com/Sl5KOjAmSmYlJjomSnBmVGY=,4년제,서울
서울여자대학교,http://ratio.uwayapply.com/Sl5KOk4mSmYlJjomSnBmVGY=,4년제,서울
서울장신대학교,http://ratio.uwayapply.com/Sl5KVyUmclc4L0M6YWAmSmYlJjomSnBmVGY=,4년제,서울
선문대학교,http://ratio.uwayapply.com/Sl5KV2FhTVc6JkpmJSY6JkpwZlRm,4년제,충남
성신여자대학교,http://ratio.uwayapply.com/Sl5KVyV8JnJXOiZKZiUmOiZKcGZUZg==,4년제,서울
세명대학교,http://ratio.uwayapply.com/Sl5Kclc6Yk1gJkpmJSY6JkpwZlRm,4년제,충북
수원과학대학교,http://ratio.uwayapply.com/Sl5KTCYmSmZDQ2FMSnBmVGY=,전문대,경기
수원여자대학교,http://ratio.uwayapply.com/Sl5KTE4mSmZDQ2FMSnBmVGY=,전문대,경기
순천향대학교,http://ratio.uwayapply.com/Sl5KfEwmSmYlJjomSnBmVGY=,4년제,충남
숭의여자대학교,https://ratio.uwayapply.com/Sl5KTE5gJkpmQ0NhTEpwZlRm,전문대,서울
신안산대학교,http://ratio.uwayapply.com/Sl5KMEw4SmZDQ2FMSnBmVGY=,전문대,경기
국립안동대학교,http://ratio.uwayapply.com/Sl5KcldhVlc4SmYlJjomSnBmVGY=,4년제,경북
안산대학교,http://ratio.uwayapply.com/Sl5KVzgmVzhKZkNDYUxKcGZUZg==,전문대,경기
안양대학교,http://ratio.uwayapply.com/Sl5Kclc4Ylc4SmYlJjomSnBmVGY=,4년제,경기
연성대학교,https://ratio.uwayapply.com/Sl5Kclc6JldhYGJKZkNDYUxKcGZUZg,전문대,경기
연세대학교(미래캠퍼스),http://ratio.uwayapply.com/Sl5KZiVgJldhYkpmJSY6JkpwZlRm,4년제,강원
영남대학교,http://ratio.uwayapply.com/Sl5KOmJKZiUmOiZKcGZUZg==,4년제,경북
영산대학교,http://ratio.uwayapply.com/Sl5KOiZiSmYlJjomSnBmVGY=,4년제,부산
오산대학교,https://ratio.uwayapply.com/Sl5KVzgmYUpmQ0NhTEpwZlRm,전문대,경기
용인대학교,http://ratio.uwayapply.com/Sl5KVyVyV2FiSmYlJjomSnBmVGY=,4년제,경기
용인예술과학대학교,http://ratio.uwayapply.com/Sl5KTCZiSmZDQ2FMSnBmVGY=,전문대,경기
우송대학교,http://ratio.uwayapply.com/Sl5KcldhJmFhTkpmJSY6JkpwZlRm,4년제,대전
울산대학교,http://ratio.uwayapply.com/Sl5KVzgmQzpKZiUmOiZKcGZUZg==,4년제,울산
원광대학교,http://ratio.uwayapply.com/Sl5Kclc4TjlXYU5KZiUmOiZKcGZUZg==,4년제,전북
유한대학교,http://ratio.uwayapply.com/Sl5KVzh8OmJKZkNDYUxKcGZUZg==,전문대,경기
인덕대학교,https://ratio.uwayapply.com/Sl5KOTpWVyVKZkNDYUxKcGZUZg,전문대,서울
인제대학교,http://ratio.uwayapply.com/Sl5KYC9XJUpmJSY6JkpwZlRm,4년제,경남
인천가톨릭대학교,http://ratio.uwayapply.com/Sl5KOkxMJUpmJSY6JkpwZlRm,4년제,인천
인하대학교,http://ratio.uwayapply.com/Sl5KOHxXJUpmJSY6JkpwZlRm,4년제,인천
장로회신학대학교,http://ratio.uwayapply.com/Sl5KJjBMaUpmJSY6JkpwZlRm,4년제,서울
전북대학교,http://ratio.uwayapply.com/Sl5KOldCL0pmJSY6JkpwZlRm,4년제,전북
전주대학교,http://ratio.uwayapply.com/Sl5KOi9XYWAvSmYlJjomSnBmVGY=,4년제,전북
제주대학교,http://ratio.uwayapply.com/Sl5KOlc6L2AvSmYlJjomSnBmVGY=,4년제,제주
중앙대학교,http://ratio.uwayapply.com/Sl5KOjhMSmYlJjomSnBmVGY=,4년제,서울
진주교육대학교,http://ratio.uwayapply.com/Sl5KYDpMSmYlJjomSnBmVGY=,4년제,경남
청운대학교,http://ratio.uwayapply.com/Sl5KV2FhTnJXOnxMSmYlJjomSnBmVGY=,4년제,인천
청주대학교,http://ratio.uwayapply.com/Sl5KOi9yV2FgfExKZiUmOiZKcGZUZg==,4년제,충북
초당대학교,http://ratio.uwayapply.com/Sl5Kclc4VmF8TEpmJSY6JkpwZlRm,4년제,전남
총신대학교,http://ratio.uwayapply.com/Sl5KVyV8JnJXYXxMSmYlJjomSnBmVGY=,4년제,서울
추계예술대학교,http://ratio.uwayapply.com/Sl5KYGJyOnxMSmYlJjomSnBmVGY=,4년제,서울
한국침례신학대학교,http://ratio.uwayapply.com/Sl5KJjowQjlKZiUmOiZKcGZUZg==,4년제,대전
평택대학교,http://ratio.uwayapply.com/Sl5KOjBpSmYlJjomSnBmVGY=,4년제,경기
포항공과대학교,http://ratio.uwayapply.com/Sl5KfExgMCZhaUpmJSY6JkpwZlRm,4년제,경북
한국기술교육대학교,http://ratio.uwayapply.com/Sl5KfExgMDhgfWE5SmYlJjomSnBmVGY=,4년제,충남
한국외국어대학교,http://ratio.uwayapply.com/Sl5KJmg6fEpmJSY6JkpwZlRm,4년제,서울
한국해양대학교,http://ratio.uwayapply.com/Sl5KOmFNOUpmJSY6JkpwZlRm,4년제,부산
한라대학교(원주),http://ratio.uwayapply.com/Sl5KOENDOHxKZiUmOiZKcGZUZg==,4년제,강원
한림대학교,http://ratio.uwayapply.com/Sl5KTWJDQzh8SmYlJjomSnBmVGY=,4년제,강원
한성대학교,http://ratio.uwayapply.com/Sl5Kclc6Jlc4fEpmJSY6JkpwZlRm,4년제,서울
한세대학교,http://ratio.uwayapply.com/Sl5KJWAmVzh8SmYlJjomSnBmVGY=,4년제,경기
한양여자대학교,http://ratio.uwayapply.com/Sl5KVzhNYU5ifEpmQ0NhTEpwZlRm,전문대,서울
협성대학교,http://ratio.uwayapply.com/Sl5Kclc6Jmk6YnxKZiUmOiZKcGZUZg==,4년제,경기
호서대학교,http://ratio.uwayapply.com/Sl5KYWAmYXxKZiUmOiZKcGZUZg==,4년제,충남
